"","Zipcode","Category","Count","Group"
"206",10037,"Japanese",5.214,"Food"
"207",10038,"Japanese",4,"Food"
"208",10039,"Japanese",5.6428,"Food"
"209",10040,"Japanese",4.97613333333333,"Food"
"210",10065,"Japanese",7,"Food"
"211",10069,"Japanese",1,"Food"
"212",10075,"Japanese",7,"Food"
"213",10128,"Japanese",5,"Food"
"214",10280,"Japanese",4.33333333333333,"Food"
"215",10282,"Japanese",5.44444444444444,"Food"
"216",10001,"pizzerias",12,"Food"
"217",10002,"pizzerias",14,"Food"
"218",10003,"pizzerias",13,"Food"
"219",10004,"pizzerias",3,"Food"
"220",10005,"pizzerias",1,"Food"
"221",10006,"pizzerias",2,"Food"
"222",10007,"pizzerias",4,"Food"
"223",10009,"pizzerias",9,"Food"
"224",10010,"pizzerias",4,"Food"
"225",10011,"pizzerias",8,"Food"
"226",10012,"pizzerias",4,"Food"
"227",10013,"pizzerias",6,"Food"
"228",10014,"pizzerias",7,"Food"
"229",10016,"pizzerias",9,"Food"
"230",10017,"pizzerias",9,"Food"
"231",10018,"pizzerias",6,"Food"
"232",10019,"pizzerias",12,"Food"
"233",10021,"pizzerias",2,"Food"
"234",10022,"pizzerias",8,"Food"
"235",10023,"pizzerias",2,"Food"
"236",10024,"pizzerias",3,"Food"
"237",10025,"pizzerias",8,"Food"
"238",10026,"pizzerias",3,"Food"
"239",10027,"pizzerias",6,"Food"
"240",10028,"pizzerias",6,"Food"
"241",10029,"pizzerias",11,"Food"
"242",10030,"pizzerias",6.5,"Food"
"243",10031,"pizzerias",4,"Food"
"244",10032,"pizzerias",6,"Food"
"245",10033,"pizzerias",6,"Food"
"246",10034,"pizzerias",2,"Food"
"247",10035,"pizzerias",2,"Food"
"248",10036,"pizzerias",8,"Food"
"249",10037,"pizzerias",4.33333333333333,"Food"
"250",10038,"pizzerias",4,"Food"
"251",10039,"pizzerias",3,"Food"
"252",10040,"pizzerias",7,"Food"
"253",10065,"pizzerias",5,"Food"
"254",10069,"pizzerias",4.2,"Food"
"255",10075,"pizzerias",2,"Food"
"256",10128,"pizzerias",4,"Food"
"257",10280,"pizzerias",3.4,"Food"
"258",10282,"pizzerias",3.13333333333333,"Food"
"259",10001,"bars",158,"Night Life"
"260",10002,"bars",163,"Night Life"
"261",10003,"bars",242,"Night Life"
"262",10004,"bars",36,"Night Life"
"263",10005,"bars",14,"Night Life"
"264",10006,"bars",15,"Night Life"
"265",10007,"bars",33,"Night Life"
"266",10009,"bars",120,"Night Life"
"267",10010,"bars",91,"Night Life"
"268",10011,"bars",180,"Night Life"
"269",10012,"bars",171,"Night Life"
"270",10013,"bars",181,"Night Life"
"271",10014,"bars",201,"Night Life"
"272",10016,"bars",167,"Night Life"
"273",10017,"bars",103,"Night Life"
"274",10018,"bars",101,"Night Life"
"275",10019,"bars",284,"Night Life"
"276",10021,"bars",101,"Night Life"
"277",10022,"bars",186,"Night Life"
"278",10023,"bars",73,"Night Life"
"279",10024,"bars",88,"Night Life"
"280",10025,"bars",71,"Night Life"
"281",10026,"bars",28,"Night Life"
"282",10027,"bars",40,"Night Life"
"283",10028,"bars",78,"Night Life"
"284",10029,"bars",34,"Night Life"
"285",10030,"bars",7,"Night Life"
"286",10031,"bars",25,"Night Life"
"287",10032,"bars",17,"Night Life"
"288",10033,"bars",28,"Night Life"
"289",10034,"bars",39,"Night Life"
"290",10035,"bars",8,"Night Life"
"291",10036,"bars",247,"Night Life"
"292",10037,"bars",3,"Night Life"
"293",10038,"bars",47,"Night Life"
"294",10039,"bars",2,"Night Life"
"295",10040,"bars",23,"Night Life"
"296",10065,"bars",40,"Night Life"
"297",10069,"bars",26.5,"Night Life"
"298",10075,"bars",22,"Night Life"
"299",10128,"bars",66,"Night Life"
"300",10280,"bars",6,"Night Life"
"301",10282,"bars",6,"Night Life"
"302",10001,"clubs",1,"Night Life"
"303",10002,"clubs",2,"Night Life"
"304",10003,"clubs",5,"Night Life"
"305",10004,"clubs",1,"Night Life"
"306",10005,"clubs",1,"Night Life"
"307",10006,"clubs",2,"Night Life"
"308",10007,"clubs",1,"Night Life"
"309",10009,"clubs",1.5,"Night Life"
"310",10010,"clubs",2,"Night Life"
"311",10011,"clubs",2,"Night Life"
"312",10012,"clubs",1,"Night Life"
"313",10013,"clubs",1.83333333333333,"Night Life"
"314",10014,"clubs",1,"Night Life"
"315",10016,"clubs",2,"Night Life"
"316",10017,"clubs",3,"Night Life"
"317",10018,"clubs",5.5,"Night Life"
"318",10019,"clubs",6,"Night Life"
"319",10021,"clubs",10,"Night Life"
"320",10022,"clubs",11,"Night Life"
"321",10023,"clubs",4,"Night Life"
"322",10024,"clubs",5.4,"Night Life"
"323",10025,"clubs",1,"Night Life"
"324",10026,"clubs",2.85,"Night Life"
"325",10027,"clubs",1,"Night Life"
"326",10028,"clubs",1.61666666666667,"Night Life"
"327",10029,"clubs",1.86666666666667,"Night Life"
"328",10030,"clubs",1.62083333333333,"Night Life"
"329",10031,"clubs",1.77604166666667,"Night Life"
"330",10032,"clubs",2,"Night Life"
"331",10033,"clubs",3.09921875,"Night Life"
"332",10034,"clubs",3.46881510416667,"Night Life"
"333",10035,"clubs",3.31360677083333,"Night Life"
"334",10036,"clubs",7,"Night Life"
"335",10037,"clubs",3.69560546875,"Night Life"
"336",10038,"clubs",1,"Night Life"
"337",10039,"clubs",4.1739013671875,"Night Life"
"338",10040,"clubs",2.9739013671875,"Night Life"
"339",10065,"clubs",5,"Night Life"
"340",10069,"clubs",3.029560546875,"Night Life"
"341",10075,"clubs",1,"Night Life"
"342",10128,"clubs",2,"Night Life"
"343",10280,"clubs",2.009853515625,"Night Life"
"344",10282,"clubs",1.669951171875,"Night Life"
"345",10001,"subway stations",7,"Transportation"
"346",10002,"subway stations",6,"Transportation"
"347",10003,"subway stations",6,"Transportation"
"348",10004,"subway stations",3,"Transportation"
"349",10005,"subway stations",2,"Transportation"
"350",10006,"subway stations",3,"Transportation"
"351",10007,"subway stations",14,"Transportation"
"352",10009,"subway stations",1,"Transportation"
"353",10010,"subway stations",3,"Transportation"
"354",10011,"subway stations",9,"Transportation"
"355",10012,"subway stations",4,"Transportation"
"356",10013,"subway stations",8,"Transportation"
"357",10014,"subway stations",2,"Transportation"
"358",10016,"subway stations",2,"Transportation"
"359",10017,"subway stations",3,"Transportation"
"360",10018,"subway stations",3,"Transportation"
"361",10019,"subway stations",9,"Transportation"
"362",10021,"subway stations",4.5,"Transportation"
"363",10022,"subway stations",5,"Transportation"
"364",10023,"subway stations",3,"Transportation"
"365",10024,"subway stations",4,"Transportation"
"366",10025,"subway stations",5,"Transportation"
"367",10026,"subway stations",3,"Transportation"
"368",10027,"subway stations",4,"Transportation"
"369",10028,"subway stations",1,"Transportation"
"370",10029,"subway stations",3,"Transportation"
"371",10030,"subway stations",3.33333333333333,"Transportation"
"372",10031,"subway stations",3,"Transportation"
"373",10032,"subway stations",6,"Transportation"
"374",10033,"subway stations",3,"Transportation"
"375",10034,"subway stations",4,"Transportation"
"376",10035,"subway stations",1,"Transportation"
"377",10036,"subway stations",4,"Transportation"
"378",10037,"subway stations",1,"Transportation"
"379",10038,"subway stations",5,"Transportation"
"380",10039,"subway stations",3,"Transportation"
"381",10040,"subway stations",4,"Transportation"
"382",10065,"subway stations",2,"Transportation"
"383",10069,"subway stations",2.2,"Transportation"
"384",10075,"subway stations",1,"Transportation"
"385",10128,"subway stations",1,"Transportation"
"386",10280,"subway stations",1.55,"Transportation"
"387",10282,"subway stations",1.31,"Transportation"
"388",10001,"buses",15,"Transportation"
"389",10002,"buses",35,"Transportation"
"390",10003,"buses",18,"Transportation"
"391",10004,"buses",2,"Transportation"
"392",10005,"buses",3,"Transportation"
"393",10006,"buses",1,"Transportation"
"394",10007,"buses",2,"Transportation"
"395",10009,"buses",30,"Transportation"
"396",10010,"buses",27,"Transportation"
"397",10011,"buses",15,"Transportation"
"398",10012,"buses",5,"Transportation"
"399",10013,"buses",8,"Transportation"
"400",10014,"buses",10,"Transportation"
"401",10016,"buses",22,"Transportation"
"402",10017,"buses",14,"Transportation"
"403",10018,"buses",7,"Transportation"
"404",10019,"buses",28,"Transportation"
"405",10021,"buses",17,"Transportation"
"406",10022,"buses",14,"Transportation"
"407",10023,"buses",34,"Transportation"
"408",10024,"buses",30,"Transportation"
"409",10025,"buses",45,"Transportation"
"410",10026,"buses",20,"Transportation"
"411",10027,"buses",47,"Transportation"
"412",10028,"buses",12,"Transportation"
"413",10029,"buses",43,"Transportation"
"414",10030,"buses",18,"Transportation"
"415",10031,"buses",26,"Transportation"
"416",10032,"buses",35,"Transportation"
"417",10033,"buses",16,"Transportation"
"418",10034,"buses",15,"Transportation"
"419",10035,"buses",19,"Transportation"
"420",10036,"buses",12,"Transportation"
"421",10037,"buses",10,"Transportation"
"422",10038,"buses",13,"Transportation"
"423",10039,"buses",15,"Transportation"
"424",10040,"buses",15,"Transportation"
"425",10065,"buses",10,"Transportation"
"426",10069,"buses",11.6666666666667,"Transportation"
"427",10075,"buses",18,"Transportation"
"428",10128,"buses",10,"Transportation"
"429",10280,"buses",2,"Transportation"
"430",10282,"buses",1,"Transportation"
"431",10001,"hospitals",4,"Safety"
"432",10002,"hospitals",4,"Safety"
"433",10003,"hospitals",4,"Safety"
"434",10004,"hospitals",4,"Safety"
"435",10005,"hospitals",4,"Safety"
"436",10006,"hospitals",4,"Safety"
"437",10007,"hospitals",4,"Safety"
"438",10009,"hospitals",3.25,"Safety"
"439",10010,"hospitals",3.0625,"Safety"
"440",10011,"hospitals",2.828125,"Safety"
"441",10012,"hospitals",1,"Safety"
"442",10013,"hospitals",2.22265625,"Safety"
"443",10014,"hospitals",2.0126953125,"Safety"
"444",10016,"hospitals",2,"Safety"
"445",10017,"hospitals",2.07845052083333,"Safety"
"446",10018,"hospitals",2.03038194444444,"Safety"
"447",10019,"hospitals",2.03627748842593,"Safety"
"448",10021,"hospitals",2.0483699845679,"Safety"
"449",10022,"hospitals",2.03834313914609,"Safety"
"450",10023,"hospitals",2.04099687071331,"Safety"
"451",10024,"hospitals",2.04256999814243,"Safety"
"452",10025,"hospitals",2.04063666933394,"Safety"
"453",10026,"hospitals",2.04140117939656,"Safety"
"454",10027,"hospitals",2.04153594895765,"Safety"
"455",10028,"hospitals",2.04119126589605,"Safety"
"456",10029,"hospitals",2.04137613141675,"Safety"
"457",10030,"hospitals",2.04136778209015,"Safety"
"458",10031,"hospitals",2.04131172646765,"Safety"
"459",10032,"hospitals",2.04135187999152,"Safety"
"460",10033,"hospitals",2.04134379618311,"Safety"
"461",10034,"hospitals",2.04133580088076,"Safety"
"462",10035,"hospitals",1.78100786926385,"Safety"
"463",10036,"hospitals",1.71592186658193,"Safety"
"464",10037,"hospitals",1.63456638418163,"Safety"
"465",10038,"hospitals",1,"Safety"
"466",10039,"hospitals",1.45016275025452,"Safety"
"467",10040,"hospitals",1.36157637814538,"Safety"
"468",10065,"hospitals",1.27057970946663,"Safety"
"469",10069,"hospitals",1.36077294595551,"Safety"
"470",10075,"hospitals",1.33097634452251,"Safety"
"471",10128,"hospitals",1.32077633331489,"Safety"
"472",10280,"hospitals",1.3375085412643,"Safety"
"473",10282,"hospitals",1.32975373970057,"Safety"
"474",10001,"markets",60,"Food"
"475",10002,"markets",192,"Food"
"476",10003,"markets",102,"Food"
"477",10004,"markets",10,"Food"
"478",10005,"markets",11,"Food"
"479",10006,"markets",4,"Food"
"480",10007,"markets",26,"Food"
"481",10009,"markets",88,"Food"
"482",10010,"markets",56,"Food"
"483",10011,"markets",102,"Food"
"484",10012,"markets",45,"Food"
"485",10013,"markets",114,"Food"
"486",10014,"markets",61,"Food"
"487",10016,"markets",66,"Food"
"488",10017,"markets",51,"Food"
"489",10018,"markets",72,"Food"
"490",10019,"markets",87,"Food"
"491",10021,"markets",43,"Food"
"492",10022,"markets",54,"Food"
"493",10023,"markets",42,"Food"
"494",10024,"markets",45,"Food"
"495",10025,"markets",108,"Food"
"496",10026,"markets",50,"Food"
"497",10027,"markets",95,"Food"
"498",10028,"markets",57,"Food"
"499",10029,"markets",185,"Food"
"500",10030,"markets",47,"Food"
"501",10031,"markets",90,"Food"
"502",10032,"markets",94,"Food"
"503",10033,"markets",98,"Food"
"504",10034,"markets",62,"Food"
"505",10035,"markets",85,"Food"
"506",10036,"markets",59,"Food"
"507",10037,"markets",37,"Food"
"508",10038,"markets",42,"Food"
"509",10039,"markets",44,"Food"
"510",10040,"markets",77,"Food"
"511",10065,"markets",37,"Food"
"512",10069,"markets",1,"Food"
"513",10075,"markets",27,"Food"
"514",10128,"markets",63,"Food"
"515",10280,"markets",5,"Food"
"516",10282,"markets",2,"Food"
"517",10001,"theatres",4,"Recreation"
"518",10002,"theatres",2,"Recreation"
"519",10003,"theatres",13,"Recreation"
"520",10004,"theatres",6.33333333333333,"Recreation"
"521",10005,"theatres",6.08333333333333,"Recreation"
"522",10006,"theatres",7.10416666666667,"Recreation"
"523",10007,"theatres",4.90416666666667,"Recreation"
"524",10009,"theatres",3,"Recreation"
"525",10010,"theatres",4.66805555555556,"Recreation"
"526",10011,"theatres",2,"Recreation"
"527",10012,"theatres",4,"Recreation"
"528",10013,"theatres",7,"Recreation"
"529",10014,"theatres",8,"Recreation"
"530",10016,"theatres",1,"Recreation"
"531",10017,"theatres",6,"Recreation"
"532",10018,"theatres",1,"Recreation"
"533",10019,"theatres",13,"Recreation"
"534",10021,"theatres",4.33333333333333,"Recreation"
"535",10022,"theatres",2,"Recreation"
"536",10023,"theatres",3,"Recreation"
"537",10024,"theatres",1,"Recreation"
"538",10025,"theatres",1,"Recreation"
"539",10026,"theatres",1.6,"Recreation"
"540",10027,"theatres",2,"Recreation"
"541",10028,"theatres",1,"Recreation"
"542",10029,"theatres",1.53333333333333,"Recreation"
"543",10030,"theatres",1.51111111111111,"Recreation"
"544",10031,"theatres",1.34814814814815,"Recreation"
"545",10032,"theatres",1.4641975308642,"Recreation"
"546",10033,"theatres",12.3308641975309,"Recreation"
"547",10034,"theatres",15.0358024691358,"Recreation"
"548",10035,"theatres",14.9661728395062,"Recreation"
"549",10036,"theatres",45,"Recreation"
"550",10037,"theatres",19.0004938271605,"Recreation"
"551",10038,"theatres",1,"Recreation"
"552",10039,"theatres",21.6668312757202,"Recreation"
"553",10040,"theatres",13.8891083676269,"Recreation"
"554",10065,"theatres",12.185313214449,"Recreation"
"555",10069,"theatres",15.9137509525987,"Recreation"
"556",10075,"theatres",13.9960575115582,"Recreation"
"557",10128,"theatres",14.031707226202,"Recreation"
"558",10280,"theatres",14.6471718967863,"Recreation"
"559",10282,"theatres",14.2249788781821,"Recreation"
"560",10001,"galleries",117,"Recreation"
"561",10002,"galleries",20,"Recreation"
"562",10003,"galleries",19,"Recreation"
"563",10004,"galleries",1,"Recreation"
"564",10005,"galleries",1,"Recreation"
"565",10006,"galleries",2,"Recreation"
"566",10007,"galleries",1,"Recreation"
"567",10009,"galleries",11,"Recreation"
"568",10010,"galleries",14,"Recreation"
"569",10011,"galleries",102,"Recreation"
"570",10012,"galleries",68,"Recreation"
"571",10013,"galleries",51,"Recreation"
"572",10014,"galleries",22,"Recreation"
"573",10016,"galleries",11,"Recreation"
"574",10017,"galleries",8,"Recreation"
"575",10018,"galleries",12,"Recreation"
"576",10019,"galleries",49,"Recreation"
"577",10021,"galleries",125,"Recreation"
"578",10022,"galleries",69,"Recreation"
"579",10023,"galleries",9,"Recreation"
"580",10024,"galleries",17,"Recreation"
"581",10025,"galleries",4,"Recreation"
"582",10026,"galleries",2,"Recreation"
"583",10027,"galleries",4,"Recreation"
"584",10028,"galleries",23,"Recreation"
"585",10029,"galleries",3,"Recreation"
"586",10030,"galleries",5.83333333333333,"Recreation"
"587",10031,"galleries",3,"Recreation"
"588",10032,"galleries",1,"Recreation"
"589",10033,"galleries",1,"Recreation"
"590",10034,"galleries",2.25,"Recreation"
"591",10035,"galleries",3.25,"Recreation"
"592",10036,"galleries",4,"Recreation"
"593",10037,"galleries",3.41666666666667,"Recreation"
"594",10038,"galleries",8,"Recreation"
"595",10039,"galleries",1,"Recreation"
"596",10040,"galleries",2,"Recreation"
"597",10065,"galleries",8,"Recreation"
"598",10069,"galleries",1,"Recreation"
"599",10075,"galleries",10,"Recreation"
"600",10128,"galleries",14,"Recreation"
"601",10280,"galleries",5.4,"Recreation"
"602",10282,"galleries",5.56666666666667,"Recreation"
"603",10001,"crime",1199,"Safety"
"604",10002,"crime",1308,"Safety"
"605",10003,"crime",936,"Safety"
"606",10004,"crime",724.666666666667,"Safety"
"607",10005,"crime",238,"Safety"
"608",10006,"crime",298,"Safety"
"609",10007,"crime",369,"Safety"
"610",10009,"crime",638,"Safety"
"611",10010,"crime",706,"Safety"
"612",10011,"crime",992,"Safety"
"613",10012,"crime",836,"Safety"
"614",10013,"crime",574,"Safety"
"615",10014,"crime",495,"Safety"
"616",10016,"crime",711,"Safety"
"617",10017,"crime",630,"Safety"
"618",10018,"crime",729,"Safety"
"619",10019,"crime",1025,"Safety"
"620",10021,"crime",373,"Safety"
"621",10022,"crime",869,"Safety"
"622",10023,"crime",565,"Safety"
"623",10024,"crime",596,"Safety"
"624",10025,"crime",967,"Safety"
"625",10026,"crime",1001,"Safety"
"626",10027,"crime",1179,"Safety"
"627",10028,"crime",412,"Safety"
"628",10029,"crime",1475,"Safety"
"629",10030,"crime",689,"Safety"
"630",10031,"crime",720,"Safety"
"631",10032,"crime",685,"Safety"
"632",10033,"crime",625,"Safety"
"633",10034,"crime",486,"Safety"
"634",10035,"crime",1211,"Safety"
"635",10036,"crime",1280,"Safety"
"636",10037,"crime",456,"Safety"
"637",10038,"crime",312,"Safety"
"638",10039,"crime",494,"Safety"
"639",10040,"crime",414,"Safety"
"640",10065,"crime",159,"Safety"
"641",10069,"crime",101,"Safety"
"642",10075,"crime",144,"Safety"
"643",10128,"crime",420,"Safety"
"644",10280,"crime",22,"Safety"
"645",10282,"crime",105,"Safety"
"646",10001,"parks",1,"Recreation"
"647",10002,"parks",6,"Recreation"
"648",10003,"parks",3.33333333333333,"Recreation"
"649",10004,"parks",3,"Recreation"
"650",10005,"parks",4.11111111111111,"Recreation"
"651",10006,"parks",3.48148148148148,"Recreation"
"652",10007,"parks",3.14814814814815,"Recreation"
"653",10009,"parks",2.74814814814815,"Recreation"
"654",10010,"parks",2.47555555555556,"Recreation"
"655",10011,"parks",2,"Recreation"
"656",10012,"parks",1,"Recreation"
"657",10013,"parks",1.61888888888889,"Recreation"
"658",10014,"parks",1,"Recreation"
"659",10016,"parks",1.2062962962963,"Recreation"
"660",10017,"parks",1.27506172839506,"Recreation"
"661",10018,"parks",2.12033950617284,"Recreation"
"662",10019,"parks",6.72033950617284,"Recreation"
"663",10021,"parks",11.8526234567901,"Recreation"
"664",10022,"parks",5,"Recreation"
"665",10023,"parks",24,"Recreation"
"666",10024,"parks",32,"Recreation"
"667",10025,"parks",16,"Recreation"
"668",10026,"parks",5,"Recreation"
"669",10027,"parks",5,"Recreation"
"670",10028,"parks",2,"Recreation"
"671",10029,"parks",2,"Recreation"
"672",10030,"parks",4.83333333333333,"Recreation"
"673",10031,"parks",4,"Recreation"
"674",10032,"parks",13,"Recreation"
"675",10033,"parks",3,"Recreation"
"676",10034,"parks",10,"Recreation"
"677",10035,"parks",8,"Recreation"
"678",10036,"parks",5.5,"Recreation"
"679",10037,"parks",7.3,"Recreation"
"680",10038,"parks",5.96666666666667,"Recreation"
"681",10039,"parks",1,"Recreation"
"682",10040,"parks",12,"Recreation"
"683",10065,"parks",2,"Recreation"
"684",10069,"parks",4,"Recreation"
"685",10075,"parks",4.75,"Recreation"
"686",10128,"parks",2.9375,"Recreation"
"687",10280,"parks",1,"Recreation"
"688",10282,"parks",3.921875,"Recreation"
"689",10001,"car crashes",12151,"Safety"
"690",10002,"car crashes",10527,"Safety"
"691",10003,"car crashes",7558,"Safety"
"692",10004,"car crashes",1710,"Safety"
