price,bedrooms,bathrooms,addr,apt,lat,lng,zipcode
"6,139",2,2,308 W 30th St,PHB,40.7497916,-73.9961189,10001
"3,100",1,1,309 W 30th St,4A,40.7501513,-73.9958983,10001
"1,850",1,7,319 W 30th St,D3,40.7502307,-73.996184,10001
"2,995",1,1,337 W 30th St,2B,40.750534,-73.9967549,10001
"6,918",3,2,303 10th Ave,8A,40.7506204,-74.0023863,10001
"3,872",1,1,303 10th Ave,7D,40.7506204,-74.0023863,10001
"2,949",1,2,303 10th Ave,2C,40.7506204,-74.0023863,10001
"4,795",2,1,303 10th Ave,10G,40.7506204,-74.0023863,10001
"2,995",1,1,363 W 30th St,907,40.750906,-73.997697,10001
"4,695",2,2,363 W 30th St,1103,40.750906,-73.997697,10001
"3,900",2,1,537 W 27th St,EX3D,40.7511032,-74.0040123,10001
"3,900",1,1,537 W 27th St,3D,40.7511032,-74.0040123,10001
"15,000",2,2,520 W 28th St,22,40.7511711,-74.00271,10001
"15,000",2,2,520 W 28th St,17,40.7511711,-74.00271,10001
"15,000",2,2,520 W 28th St,18,40.7511711,-74.00271,10001
"22,500",2,2,520 W 28th St,31,40.7511711,-74.00271,10001
"18,000",2,2,520 W 28th St,14,40.7511711,-74.00271,10001
"8,545",2,2,525 W 28th St,,40.7516756,-74.0034225,10001
"4,670",1,1,505 W 29th St,26387,40.7518109,-74.0018238,10001
"4,925",1,1,505 W 29th St,26419,40.7518109,-74.0018238,10001
"6,110",2,2,505 W 29th St,26106,40.7518109,-74.0018238,10001
"3,235",1,5,505 W 29th St,26265,40.7518109,-74.0018238,10001
"4,250",1,1,505 W 29th St,27K,40.7518109,-74.0018238,10001
"5,888",2,2,315 W 33rd St,35I,40.7520318,-73.9946208,10001
"5,689",2,2,315 W 33rd St,22K,40.7520318,-73.9946208,10001
"3,933",1,1,315 W 33rd St,22H,40.7520318,-73.9946208,10001
"3,400",1,1,315 W 33rd St,12F,40.7520318,-73.9946208,10001
"5,684",2,2,315 W 33rd St,24A,40.7520318,-73.9946208,10001
"6,205",2,2,282 11th Ave,,40.7522422,-74.004166,10001
"12,750",3,2,435 W 31st St,,40.7522644,-73.9989182,10001
"3,232",1,1,360 W 34th St,12C,40.7529766,-73.9958918,10001
"2,650",1,1,360 W 34th St,3S,40.7529766,-73.9958918,10001
"2,950",1,1,360 W 34th St,6-V,40.7529766,-73.9958918,10001
"3,138",1,1,360 W 34th St,8D,40.7529766,-73.9958918,10001
"7,000",2,2,312 11th Ave,34F,40.7530129,-74.0037394,10001
"4,675",1,1,312 11th Ave,25C,40.7530129,-74.0037394,10001
"2,925",1,9,312 11th Ave,6N,40.7530129,-74.0037394,10001
"4,425",2,1,312 11th Ave,16K,40.7530129,-74.0037394,10001
"3,225",1,1,312 11th Ave,14J,40.7530129,-74.0037394,10001
"5,175",1,1,312 11th Ave,35A,40.7530129,-74.0037394,10001
"3,000",2,1,430 W 34th St,,40.7536833,-73.9975767,10001
"3,000",1,1,440 W 34th St,11H,40.7538132,-73.9979571,10001
"2,200",1,4,454 W 34th St,8D,40.7538753,-73.9985467,10001
"1,895",1,2,367 W 35th St,20,40.754033,-73.99516,10001
"2,750",1,1,433 W 34th St,2J,40.7542734,-73.9977639,10001
"3,060",1,1,444 W 35th St,7C,40.7545023,-73.9975758,10001
"2,425",1,1,440 10th Ave,1RS,40.7549837,-73.9988579,10001
"3,000",1,1,10th Ave and W 35th St,,40.7552526,-73.9986612,10001
"3,600",2,1,360 W 28th St,4B,44.9521141,-93.2837615,10001
"3,507",1,1,331 E Houston St,2E,40.7209844,-73.9826118,10002
"6,000",2,2,331 E Houston St,12B,40.7209844,-73.9826118,10002
"4,292",1,1,331 E Houston St,PHA,40.7209844,-73.9826118,10002
"13,995",3,2,255 Bowery,PH,40.7230885,-73.9925921,10002
"5,800",1,1,94 Bowery,4F,40.7176027,-73.9955947,10002
"3,995",3,1,161 Ludlow St,7,40.7214541,-73.9878947,10002
"7,200",2,2,182 Norfolk St,3,40.72132,-73.985563,10002
"3,195",2,1,29 A Clinton St,3D,40.720397,-73.9845275,10002
"2,650",2,1,29 Clinton St,2B,40.720397,-73.9845275,10002
"5,169",2,2,155 Attorney St,6F,40.7205671,-73.9836307,10002
"5,077",2,2,155 Attorney St,5F,40.7205671,-73.9836307,10002
"5,077",2,2,155 Attorney St,4E,40.7205671,-73.9836307,10002
"3,195",2,1,78-84 Rivington St,6B,40.7204897,-73.9892391,10002
"4,295",2,2,78-84 Rivington St,5A,40.7204897,-73.9892391,10002
"2,650",2,1,65 Rivington St,7,40.7205047,-73.9901076,10002
"10,500",4,3,125 Rivington St,3,40.71959,-73.9872101,10002
"7,200",2,2,50 Clinton St,5A,40.7196149,-73.9845077,10002
"3,875",1,1,50 Clinton St,2F,40.7196149,-73.9845077,10002
"6,700",2,2,50 Clinton St,4A,40.7196149,-73.9845077,10002
"2,500",1,1,177 Chrystie St,4D,40.721182,-73.992504,10002
"7,883",5,2,207 Bowery,6F,40.7212333,-73.9932758,10002
"3,195",1,1,77-79 Delancey St,4D,40.7188463,-73.9900856,10002
